RegistroANS;Ano;Trimestre;ValorDespesas
"344800";2025;"3T";"0"
"344800";2025;"3T";"0"
"344800";2025;"3T";"0"
"344800";2025;"3T";"0"
"344800";2025;"3T";"0"
"344800";2025;"3T";"0"
"344800";2025;"3T";"0"
"344800";2025;"3T";"0"
"344800";2025;"3T";"0"
"344800";2025;"3T";"0"
"344800";2025;"3T";"0"
"344800";2025;"3T";"0"
"344800";2025;"3T";"0"
"344800";2025;"3T";"0"
"344800";2025;"3T";"0"
"344800";2025;"3T";"0"
"344800";2025;"3T";"0"
"344800";2025;"3T";"0"
"344800";2025;"3T";"0"
"344800";2025;"3T";"0"
"344800";2025;"3T";"0"
"344800";2025;"3T";"0"
"344915";2025;"3T";"22161.96"
"344915";2025;"3T";"22161.96"
"344915";2025;"3T";"253321.51"
"344915";2025;"3T";"638070.55"
"344915";2025;"3T";"622555.11"
"344915";2025;"3T";"15515.44"
"345458";2025;"3T";"155735.61"
"345458";2025;"3T";"155735.61"
"346276";2025;"3T";"216698386.76"
"346276";2025;"3T";"212253335.56"
"346276";2025;"3T";"76901451.62"
"346276";2025;"3T";"76901451.62"
"346276";2025;"3T";"1234219.15"
"346276";2025;"3T";"6822226.82"
"346276";2025;"3T";"2120072.39"
"346276";2025;"3T";"213084.16"
"346276";2025;"3T";"12275617.26"
"346276";2025;"3T";"3002383.55"
"346276";2025;"3T";"22208749.11"
"346276";2025;"3T";"7344982.08"
"346276";2025;"3T";"257780.05"
"346276";2025;"3T";"27151971.07"
"346276";2025;"3T";"562075.4"
"346276";2025;"3T";"25150.73"
"346276";2025;"3T";"403728.91"
"346276";2025;"3T";"228857.02"
"346276";2025;"3T";"92910.51"
"346276";2025;"3T";"6129769.41"
"346951";2025;"3T";"276715.91"
